id,direction,text,translation1_googleTranslate,translation2_chatGPT,preferred_translation,date_added
1,eng_to_spa,You run,Tu corres,Tú corres.,2,2024-11-23 19:01:39
2,eng_to_spa,Yes,Sí,Sí,3,2024-11-23 19:01:50
3,spa_to_eng,tu esposa te regañaba por no recoger a sus niños,Your wife scolded you for not picking up your children,Your wife would scold you for not picking up her kids.,1,2024-11-23 19:38:39
4,spa_to_eng,Obtén un batidor. Bate las fresas.,Get a mixer. Blend the strawberries.,Get a whisk. Whisk the strawberries.,1,2024-11-23 19:39:28
7,eng_to_spa,Barcelona beat Real Madrid,El Barcelona venció al Real Madrid,El Barcelona venció al Real Madrid.,3,2024-11-23 19:42:17
8,spa_to_eng,un callejón,an alley,a alleyway,1,2024-11-24 01:25:15
9,eng_to_spa,you run,tu corres,tú corres,2,2024-11-26 21:29:20
10,eng_to_spa,Hello how are you?,"¿Hola, cómo estás?","Hola, ¿cómo estás?",3,2024-11-26 21:29:53
11,eng_to_spa,my head hurts,Me duele la cabeza,Me duele la cabeza.,3,2024-12-31 21:08:33
12,eng_to_spa,he eats,Él come,él come,3,2024-12-31 21:08:50
13,eng_to_spa,you eat,tu comes,tú comes,2,2024-12-31 21:09:14
14,eng_to_spa,I win,Yo gano,Gano.,3,2024-12-31 21:09:34
15,eng_to_spa,It's time to say goodbye,Es hora de decir adiós,Es hora de decir adiós.,3,2024-12-31 21:12:36
16,eng_to_spa,It’s raining cats and dogs,Lueve a cántaros,Está lloviendo a cántaros.,2,2025-01-02 16:03:46
17,eng_to_spa,let's play,Vamos a jugar,Vamos a jugar.,3,2025-01-02 23:01:02
18,eng_to_spa,let it snow,Deja que nieve,que nieve,3,2025-01-02 23:01:33
19,spa_to_eng,suavemente,gently,"The translation of ""suavemente"" from Spanish to English is ""gently"" or ""softly.""",3,2025-01-03 20:32:30
20,spa_to_eng,despacito,slowly,"""Despacito"" translates to ""slowly"" in English. It is also the title of a popular song by Luis Fonsi featuring Daddy Yankee. If you need a translation of the lyrics or more information about the song, feel free to ask!",3,2025-01-03 20:32:49
21,eng_to_spa,my name is joseph,Mi nombre es joseph,Me llamo Joseph.,3,2025-01-03 20:33:16
22,eng_to_spa,She gave up.,Ella se rindió.,Ella se rindió.,3,2025-01-06 20:25:45
23,eng_to_spa,I can't stand her.,No la soporto.,No la soporto.,3,2025-01-06 20:26:04
24,eng_to_spa,I could care less.,No me importa nada.,Me importaría menos.,1,2025-01-06 20:26:44
25,eng_to_spa,You really knocked it out of the park!,¡Realmente lo lograste!,¡Realmente lo hiciste increíble!,1,2025-01-06 20:28:31
26,eng_to_spa,I can't work today because I'm under the weather,No puedo trabajar hoy porque me siento mal.,No puedo trabajar hoy porque no me siento bien.,3,2025-01-06 20:29:37
27,spa_to_eng,Me siento de la patada,I feel like I'm kicking myself,I feel terrible.,2,2025-01-06 20:30:02
28,eng_to_spa,What goes around comes around.,Lo que se siembra de recoge.,"Lo que va, vuelve.",3,2025-01-06 20:30:32
29,spa_to_eng,"El que siembra vientos, recoge tempestades.","He who sows the wind, reaps the whirlwind.",He who sows winds reaps storms.,1,2025-01-06 20:31:36
30,eng_to_spa,Dad wasn't home so I got the whole nine yards from Mom.,"Papá no estaba en casa, así que mamá me dio toda la información que necesité.","Papá no estaba en casa, así que recibí la charla completa de Mamá.",2,2025-01-06 20:35:34
31,spa_to_eng,Es difícil creer que esa playa estaba bordeada por una carretera,It's hard to believe that beach was bordered by a road.,It's hard to believe that the beach was lined by a road.,1,2025-01-07 17:14:22
32,spa_to_eng,"En el lugar se celebraban reuniones familiares, días feriados y la gente podía cruzar el litoral para llegar al otro extremo del vecindario.","Family gatherings, holidays, and people could cross the shoreline to get to the other end of the neighborhood were held there.","In the place, family gatherings and holidays were celebrated, and people could cross the shoreline to reach the other end of the neighborhood.",2,2025-01-07 17:15:41
33,spa_to_eng,Ahora la orilla no es más que una pequeña franja de arena.,Now the shore is nothing more than a small strip of sand.,Now the shore is nothing more than a small strip of sand.,3,2025-01-07 17:16:07
34,spa_to_eng,"El patio del hogar de esta expolicía de 57 años, quien ha vivido allí por cuatro décadas, es un cúmulo de ruinas de cemento, basura y vegetación con raíces expuestas que son golpeadas constantemente por el mar.","The backyard of the 57-year-old former police officer, who has lived there for four decades, is a pile of cement ruins, garbage and vegetation with exposed roots that are constantly battered by the sea.","The yard of this 57-year-old former police officer's home, who has lived there for four decades, is a heap of cement ruins, garbage, and vegetation with exposed roots that are constantly battered by the sea.",2,2025-01-07 17:17:32
35,spa_to_eng,"Estamos de visita un día soleado de enero y Janet, mientras camina por el trozo de carretera rota, nos cuenta que los vecinos se han ido y que las bonitas memorias del barrio son empañadas por un profundo miedo.","We are visiting on a sunny day in January and Janet, as she walks along the broken stretch of road, tells us that the neighbours have left and that the beautiful memories of the neighbourhood are clouded by a deep fear.","We are visiting on a sunny day in January, and Janet, while walking along the section of broken road, tells us that the neighbors have left and that the beautiful memories of the neighborhood are overshadowed by a deep fear.",2,2025-01-07 17:19:11
36,spa_to_eng,"El mar, al que ella le atribuye vida propia, se está tragando la costa poco a poco. A su paso, deja todo desolado.","The sea, to which she attributes a life of its own, is slowly swallowing up the coast, leaving everything desolate in its wake.","The sea, which she attributes with its own life, is slowly swallowing the coast. In its wake, it leaves everything desolate.",1,2025-01-07 17:22:07
37,spa_to_eng,"Las edificaciones ceden y comienzan a caer. Se convierten en estructuras fantasma que nadie habita y que amenazan la vida marina y el turismo, hasta que al final desaparecen, mientras que la población queda desplazada.","Buildings give way and begin to fall. They become ghost structures, uninhabited, threatening marine life and tourism, until they eventually disappear, while the population is displaced.","Buildings give way and begin to fall. They become ghost structures that no one inhabits and that threaten marine life and tourism, until they eventually disappear, while the population remains displaced.",2,2025-01-07 17:23:15
38,spa_to_eng,Yo me sentía segura porque el mar estaba bien lejos,I felt safe because the sea was far away.,I felt safe because the sea was far away.,3,2025-01-07 17:27:27
39,spa_to_eng,"""Yo me sentía segura porque el mar estaba bien lejos"", comenta mientras la seguimos con una cámara.","""I felt safe because the sea was far away,"" she says as we follow her with a camera.","""I felt safe because the sea was far away,"" she comments as we follow her with a camera.",3,2025-01-07 17:28:04
40,spa_to_eng,"Ahora el mar se está metiendo demasiado, demasiado","Now the sea is getting in too much, too much","Now the sea is coming in too much, too much.",2,2025-01-07 17:28:31
41,spa_to_eng,"""Ahora el mar se está metiendo demasiado, demasiado"", agrega sobre la línea de costa que hace 30 años estaba a una distancia considerable de su hogar.","""Now the sea is coming in too far, too far,"" he adds, referring to the coastline that 30 years ago was a considerable distance from his home.","""Now the sea is coming in too much, too much,"" he adds about the coastline that was a considerable distance from his home 30 years ago.",3,2025-01-07 17:29:31
42,spa_to_eng,"El fenómeno que arrasa la zona de Villa Cristiana se conoce como erosión costera, un proceso natural en el que la playa, que es un ecosistema dinámico, pierde arena y el mar se adentra.","The phenomenon that is ravaging the Villa Cristiana area is known as coastal erosion, a natural process in which the beach, which is a dynamic ecosystem, loses sand and the sea moves in.","The phenomenon that is sweeping through the Villa Cristiana area is known as coastal erosion, a natural process in which the beach, which is a dynamic ecosystem, loses sand and the sea encroaches inland.",3,2025-01-07 17:32:07
44,spa_to_eng,"En muchas áreas de los 44 municipios con acceso al mar en Puerto Rico, afirman los científicos, la erosión dejó de ser normal y ahora representa un problema. Las playas se están perdiendo de forma acelerada y no se recuperan","In many areas of the 44 municipalities with access to the sea in Puerto Rico, scientists say, erosion is no longer normal and is now a problem. Beaches are being lost at an accelerated rate and are not recovering.","In many areas of the 44 municipalities with access to the sea in Puerto Rico, scientists say that erosion is no longer normal and now represents a problem. Beaches are being lost at an accelerated rate and are not recovering.",3,2025-01-07 17:33:49
45,spa_to_eng,"""Se me está cayendo la casa poco a poco"", dice llorosa Janet, quien nos deja entrar a su hogar, ubicado en un segundo piso.","""My house is slowly falling apart,"" says a tearful Janet, who lets us into her home, located on the second floor.","""My house is falling apart little by little,"" says a tearful Janet, who lets us into her home located on the second floor.",3,2025-01-07 17:34:33
46,spa_to_eng,"La cercanía del mar ha provocado que el salitre desgaste las columnas de la entrada, y como tienen las varillas visibles, no se puede poner un marco para una puerta. ","The proximity of the sea has caused the saltpeter to wear away the columns at the entrance, and since the rods are visible, a frame for a door cannot be put in. ","The proximity of the sea has caused the salt to wear down the columns at the entrance, and since the rebar is visible, it is not possible to put a frame for a door.",3,2025-01-07 17:36:23
47,spa_to_eng,Protege la residencia con un portón de aluminio.,Protect your home with an aluminum gate.,Protect the residence with an aluminum gate.,3,2025-01-07 17:38:19
48,spa_to_eng,"La cercanía del mar ha provocado que el salitre desgaste las columnas de la entrada, y como tienen las varillas visibles, no se puede poner un marco para una puerta. Protege la residencia con un portón de aluminio.","The proximity of the sea has caused saltpeter to wear down the columns at the entrance, and since the rods are visible, a frame for a door cannot be installed. The residence is protected by an aluminum gate.","The proximity of the sea has caused the salt to wear down the columns at the entrance, and since the rods are visible, it is not possible to put a frame for a door. Protect the residence with an aluminum gate.",1,2025-01-07 17:38:39
49,spa_to_eng,"En el interior de la estancia de una habitación, dos livings y una cocina, el concreto está al raso y lleno de grietas.","Inside the one-bedroom, two-living room and kitchen, the concrete is bare and full of cracks.","Inside the living area of a room, there are two living rooms and a kitchen; the concrete is level and full of cracks.",0,2025-01-07 17:40:35
50,spa_to_eng,"""Por la noche, cuando hay viento fuerte, las ventanas de mi cuarto hacen un ruido horrible. Les pongo una tabla porque es demasiado. Se me está destruyendo por fuera, por dentro, por todos lados"", cuenta.","""At night, when there is strong wind, the windows in my room make a horrible noise. I put a board over them because it is too much. They are being destroyed from the outside, from the inside, from all sides,"" he says.","""At night, when there is strong wind, the windows of my room make a horrible noise. I put a board on them because it's too much. It's falling apart on the outside, on the inside, on all sides,"" he/she says.",3,2025-01-07 17:41:52
51,spa_to_eng,"La entrada de la casa de Janet no tiene puerta, sino una verja de aluminio.","The entrance to Janet's house does not have a door, but rather an aluminum gate.","The entrance of Janet's house doesn't have a door, but rather an aluminum gate.",3,2025-01-07 17:42:18
52,spa_to_eng,"La pérdida de playa en su barrio comenzó cerca del 1989, pero en tiempos recientes, dice, ha empeorado. Así ha pasado en el resto del archipiélago.","The loss of beach in his neighborhood began around 1989, but in recent times, he says, it has worsened. This has happened in the rest of the archipelago.","The loss of beach in your neighborhood began around 1989, but recently, it has worsened, he says. This has happened throughout the rest of the archipelago as well.",3,2025-01-07 17:43:37
53,spa_to_eng,"Las causas son variadas y complejas, al igual que las soluciones que, pese a la demanda desesperada durante años, aún no llegan.","The causes are varied and complex, as are the solutions, which, despite years of desperate demand, have yet to arrive.","The causes are varied and complex, just like the solutions that, despite the desperate demand for years, have not yet arrived.",3,2025-01-07 17:45:41
54,spa_to_eng,"Residencia de Janet Quiñones en el sector Villa Cristiana, en Loíza, Puerto Rico.","Janet Quiñones' residence in the Villa Cristiana sector, in Loíza, Puerto Rico.","Residence of Janet Quiñones in the Villa Cristiana sector, in Loíza, Puerto Rico.",3,2025-01-07 17:46:02
55,spa_to_eng,Desastre creado por el hombre,Man-made disaster,Disaster created by man,3,2025-01-07 18:22:53
56,spa_to_eng,"A tres horas de Loíza, en la costa del barrio Córcega en Rincón, en el oeste de Puerto Rico, una hilera de estructuras inclinadas parece que le hace reverencias al mar y a los hermosos atardeceres naranja intenso que allí ocurren.","Three hours from Loíza, on the coast of the Córcega neighborhood in Rincón, in western Puerto Rico, a row of leaning structures seems to bow to the sea and the beautiful intense orange sunsets that occur there.","Three hours from Loíza, on the coast of the Córcega neighborhood in Rincón, in the west of Puerto Rico, a row of slanted structures seems to bow to the sea and the beautiful intense orange sunsets that occur there.",3,2025-01-07 18:24:04
57,spa_to_eng,"Desde el techo de una de ellas Ruperto Chaparro, un profesor de la Universidad de Puerto Rico experto en manejo de recursos costeros, nos señala un predio vacío en donde alguna vez hubo un complejo de apartamentos cuyas unidades tenían un valor sobre los US$200.000.","From the roof of one of them, Ruperto Chaparro, a professor at the University of Puerto Rico and expert in coastal resource management, points out an empty lot where there was once an apartment complex whose units were valued at over US$200,000.","From the roof of one of them, Ruperto Chaparro, a professor at the University of Puerto Rico and an expert in coastal resource management, points out an empty lot where there was once an apartment complex whose units were valued at over $200,000.",3,2025-01-07 18:25:53
58,spa_to_eng,"Fue demolido en 2022, luego de que, por la marejada ciclónica que provocó el huracán María en 2017, la pérdida de playa hizo que una parte de los edificios quedara dentro del agua.","It was demolished in 2022, after the storm surge caused by Hurricane Maria in 2017 caused the loss of beachfront and caused part of the buildings to be submerged in the water.","It was demolished in 2022, after the storm surge caused by Hurricane Maria in 2017 resulted in the loss of beach, which left part of the buildings underwater.",3,2025-01-07 18:28:57
59,spa_to_eng,"Hilera de estructuras destruidas en el barrio Córcega, en el municipio costero Rincón, Puerto Rico.","Row of destroyed structures in the Córcega neighborhood, in the coastal municipality of Rincón, Puerto Rico.","Row of destroyed structures in the Córcega neighborhood, in the coastal municipality of Rincón, Puerto Rico.",3,2025-01-07 18:29:50
60,spa_to_eng,Complejo de apartamentos Rincón Ocean Club II antes de ser demolido en 2022 por quedar dentro del mar a consecuencia de la erosión costera.,Rincón Ocean Club II apartment complex before being demolished in 2022 due to being submerged in the sea due to coastal erosion.,Rincón Ocean Club II apartment complex before being demolished in 2022 due to being situated in the sea as a result of coastal erosion.,3,2025-01-07 18:30:34
61,spa_to_eng,"Precisamente, la combinación de construir en la zona marítimo-terrestre, algo que amenaza los recursos costeros como las dunas y corales que detienen el oleaje, y las consecuencias del cambio climático, que provoca huracanes y eventos de marejadas más fuertes y frecuentes, son la principal razón del problema, dice el científico.","The main reason for the problem is the combination of building in the maritime-terrestrial zone, which threatens coastal resources such as dunes and corals that stop the waves, and the consequences of climate change, which causes stronger and more frequent hurricanes and storm surges, says the scientist.","Precisely, the combination of building in the maritime-terrestrial zone, something that threatens coastal resources such as dunes and corals that buffer the waves, and the consequences of climate change, which causes hurricanes and stronger and more frequent storm surge events, is the main reason for the problem, says the scientist.",3,2025-01-07 18:33:21
62,spa_to_eng,"""El cambio climático entra en juego en el proceso de erosión por el aumento en el nivel del mar, debido a que se están derritiendo los polos"", dice, para explicar las razones por las que las marejadas que se ""comen"" la costa son cada vez más potentes.","""Climate change is playing a role in the erosion process caused by rising sea levels, as the poles are melting,"" he says, explaining why the tidal waves that are ""eating away"" at the coast are becoming more and more powerful.","""Climate change comes into play in the erosion process due to the rising sea levels, because the poles are melting,"" he says, explaining the reasons why the storm surges that ""eat away"" the coast are becoming more powerful.",2,2025-01-07 18:37:06
64,spa_to_eng,"Un informe de la Agencia Nacional Oceánica y Atmosférica de EE.UU. de 2022 señala que, al menos en San Juan, la capital del territorio caribeño, se ha registrado desde 1962 un aumento de 1,77 centímetros en el nivel del mar por década (equivalente al índice de aumento del nivel global del mar).","A 2022 report by the U.S. National Oceanic and Atmospheric Administration notes that at least in San Juan, the capital of the Caribbean territory, there has been a rise of 1.77 centimeters in sea level per decade since 1962 (equivalent to the rate of global sea level rise).","A report from the U.S. National Oceanic and Atmospheric Administration in 2022 notes that, at least in San Juan, the capital of the Caribbean territory, there has been an increase of 1.77 centimeters in sea level per decade since 1962 (equivalent to the global sea level rise rate).",1,2025-01-07 18:46:45
65,spa_to_eng,"Aunque parezca poco, el informe detalla que el efecto que ese cambio tiene en las marejadas es ""preocupante"", más aún cuando en la isla un 60% de la población vive en la costa.","Although this may not seem like much, the report details that the effect of this change on storm surges is ""worrying"", even more so when 60% of the island's population lives on the coast.","Although it may seem small, the report details that the effect this change has on swells is ""concerning,"" especially considering that 60% of the population on the island lives on the coast.",3,2025-01-07 18:49:22
66,spa_to_eng,"Y aunque el nivel del mar aumenta alrededor de todo el mundo, el impacto de la erosión es tan marcado en Puerto Rico porque su gobierno ha permitido una construcción desmedida en la costa, basando sus leyes, reglamentos y política pública en definiciones heredadas de una legislación del tiempo colonial español, critica el profesor Chaparro","And although sea levels are rising around the world, the impact of erosion is so marked in Puerto Rico because its government has allowed excessive construction on the coast, basing its laws, regulations and public policy on definitions inherited from legislation from the Spanish colonial period, criticizes Professor Chaparro.","And although sea level is rising around the world, the impact of erosion is so pronounced in Puerto Rico because its government has allowed unchecked construction on the coast, basing its laws, regulations, and public policy on definitions inherited from legislation from the Spanish colonial era, criticizes Professor Chaparro.",3,2025-01-07 19:03:33
67,spa_to_eng,El documento aprobado por España tuvo vigencia en el archipiélago desde 1886.,The document approved by Spain was in force in the archipelago since 1886.,The document approved by Spain was in effect in the archipelago since 1886.,3,2025-01-07 19:04:14
68,spa_to_eng,un poco de estrés,a little stress,a little bit of stress,3,2025-01-08 21:19:49
69,spa_to_eng,el estado anímico,the mood,the mood,3,2025-01-08 21:21:44
70,eng_to_spa,joao is the greatest of all time.,Joao es el más grande de todos los tiempos.,Joao es el más grande de todos los tiempos.,3,2025-01-09 01:56:58
71,eng_to_spa,I have a headache,Me duele la cabeza,Tengo dolor de cabeza.,2,2025-01-09 05:43:51
72,eng_to_spa,if I had a million dollars I would buy you a boat,Si tuviera un millón de dólares te compraría un barco,"Si tuviera un millón de dólares, te compraría un barco.",3,2025-01-09 05:44:40
73,spa_to_eng,comida basura,junk food,junk food,3,2025-01-13 19:09:18
74,spa_to_eng,Lleve ropa y calzado adecuados al clima del país de destino.,Wear clothing and footwear appropriate for the climate of the destination country.,Bring appropriate clothing and footwear for the climate of the destination country.,2,2025-01-15 00:47:23
75,spa_to_eng,"Cuando coma fruta, siempre lávela y pélela antes","When eating fruit, always wash and peel it before eating.","When you eat fruit, always wash it and peel it first.",3,2025-01-15 00:48:44
76,spa_to_eng,Prepare un botiquín con medicamentos básicos,Prepare a first aid kit with basic medications,Prepare a first aid kit with basic medicines.,3,2025-01-15 00:53:37
77,spa_to_eng,las hojas caen,the leaves fall,The leaves fall.,3,2025-01-15 00:59:50
78,spa_to_eng,"Nos encontramos en la Avenida 9 de Julio, una de las principales calles de la ciudad, y conocida como la avenida más ancha del mundo","We are located on Avenida 9 de Julio, one of the main streets of the city, and known as the widest avenue in the world.","We are on Avenida 9 de Julio, one of the main streets of the city, and known as the widest avenue in the world.",3,2025-01-15 01:11:58
79,spa_to_eng,preguntar en qué parte de la playa está el salvavidas.,ask where the lifeguard is on the beach.,Ask where the lifeguard is on the beach.,3,2025-01-16 13:53:25
80,spa_to_eng,la llegada,the arrival,The arrival,3,2025-01-16 14:00:07
81,spa_to_eng,la queja,the complaint,The complaint,3,2025-01-16 14:00:50
83,spa_to_eng,Hace poco que tengo el carné,I recently got my license,I recently got my driver's license.,3,2025-01-18 19:57:18
85,spa_to_eng,egresar,graduate,to graduate,2,2025-01-18 21:00:43
86,spa_to_eng,testigos,witnesses,witnesses,3,2025-01-18 21:01:47
87,spa_to_eng,milenio,millennium,millennium,3,2025-01-18 21:01:53
88,spa_to_eng,acontecimiento,event,event,3,2025-01-18 21:02:16
89,eng_to_spa,"The book I read yesterday, which was recommended by my teacher, was fascinating.","El libro que leí ayer, recomendado por mi profesor, fue fascinante.","El libro que leí ayer, que fue recomendado por mi maestro, fue fascinante.",3,2025-01-18 21:12:12
90,eng_to_spa,He’s as American as apple pie.,Es tan americano como el pastel de manzana.,Es tan americano como el pastel de manzana.,3,2025-01-18 21:12:56
91,eng_to_spa,"Hey, what’s up?",¿Hola! Qué tal?,"Hola, ¿qué tal?",3,2025-01-18 21:13:40
92,spa_to_eng,irse al extranjero,go abroad,to go abroad,2,2025-01-18 21:44:08
93,spa_to_eng,al principio,at first,at the beginning,3,2025-01-19 02:04:50
94,spa_to_eng,en aquellos años,in those years,in those years,3,2025-01-19 02:05:03
95,spa_to_eng,El profesor te dijo que miraras dónde te sientas.,The teacher told you to watch where you sit.,The teacher told you to watch where you sit.,3,2025-01-19 15:54:29
96,eng_to_spa,The teacher told you to watch where you sit,El profesor te dijo que miraras dónde te sientas.,El maestro te dijo que tengas cuidado donde te sientas.,3,2025-01-19 15:55:28
97,eng_to_spa,The teacher told you to watch where you sit,El profesor te dijo que miraras dónde te sientas.,El profesor te dijo que mires dónde te sientas.,3,2025-01-19 15:55:56
